created_at,full_text,lang,cleaned_text,normalized_text
2025-08-21,@txtdrimedia Blm terbiasa makan makanan hewan MBG konntolll dibanggain Dasar presiden tertolol Milih mentri sdm rendah semua,in,blm terbiasa makan makanan hewan mbg konntolll dibanggain dasar presiden tertolol milih mentri sdm rendah semua,belum terbiasa makan makanan hewan mbg konntolll dibanggain dasar presiden tertolol milih menteri sdm rendah semua
2025-08-20,SDM mentri bisa lebih perform dan fokus ke permasalahan rakyat di tangan persiden yg tepat,in,sdm mentri bisa lebih perform dan fokus ke permasalahan rakyat di tangan persiden yg tepat,sdm menteri bisa lebih perform dan fokus ke permasalahan rakyat di tangan persiden yang tepat
2025-08-18,@grok @ARSIPAJA Kalau sekelas mentri saja pemikirannya nggak sampai kesitu dg skala dari 0-10 lu kasih rating deh utk kualitas sdm kabinet ini @grok Nyerah gue! ,in,kalau sekelas mentri saja pemikirannya nggak sampai kesitu dg skala dari lu kasih rating deh utk kualitas sdm kabinet ini nyerah gue,kalau sekelas menteri saja pemikirannya gak sampai kesitu dg skala dari lu kasih rating deh untuk kualitas sdm kabinet ini nyerah gue
2025-08-16,@Rizaldi095 @Mentri_kerja2 @erwinfeydi @awesomeposted Lho tapi sdm kita belajar bs jepang gak nyampe setahun terus kesana dan mulai membentuk kelompok ,in,lho tapi sdm kita belajar bs jepang gak nyampe setahun terus kesana dan mulai membentuk kelompok,lho tapi sdm kita belajar bs jepang gak nyampe setahun terus kesana dan mulai membentuk kelompok
2025-08-15,@Gunawan75_ Ya beda blok jaman moh hatta jadi wapres indonesia punya apa selain negara kere yg baru merdeka yg gk punya duit dan SDM rendah yg pintar sekolah cuma segelintir klo skrg kan sdh jd negara berkembang ada duitnya. Merintis itu lebih susah sulit drpd yg cuma nerusin mentri oon,in,ya beda blok jaman moh hatta jadi wapres indonesia punya apa selain negara kere yg baru merdeka yg gk punya duit dan sdm rendah yg pintar sekolah cuma segelintir klo skrg kan sdh jd negara berkembang ada duitnya merintis itu lebih susah sulit drpd yg cuma nerusin mentri oon,ya beda blok jaman moh hatta jadi wapres indonesia punya apa selain negara kere yang baru merdeka yang gak punya duit dan sdm rendah yang pintar sekolah cuma segelintir kalau skrg kan sdh jadi negara berkembang ada duitnya merintis itu lebih susah sulit drpd yang cuma nerusin menteri oon
2025-08-13,@cchobi79 @txtdrimedia @prabowo Mentri ngomong asal mangap...pikiran sehat nggk dipakai SDM setingkat mentri cukup rendah,in,mentri ngomong asal mangappikiran sehat nggk dipakai sdm setingkat mentri cukup rendah,menteri ngomong asal mangappikiran sehat nggk dipakai sdm setingkat menteri cukup rendah
2025-08-13,MENTRI PPPA SEBUT KESEHATAN ADALAH PONDASI WUJUDKAN SDM BERKUALITAS https://t.co/sMkjRG5BXp,in,mentri pppa sebut kesehatan adalah pondasi wujudkan sdm berkualitas,menteri pppa sebut kesehatan adalah pondasi wujudkan sdm berkualitas
2025-08-10,@DS_yantie Kocak emang kabinet Indonesia baru mentri keuangan gak ngerti uang mentri esdm tapi sdm rendah mentri HAM tapi perang dan pemberontak ditanah kelahiran dia.,in,kocak emang kabinet indonesia baru mentri keuangan gak ngerti uang mentri esdm tapi sdm rendah mentri ham tapi perang dan pemberontak ditanah kelahiran dia,kocak emang kabinet indonesia baru menteri keuangan gak ngerti uang menteri esdm tapi sdm rendah menteri ham tapi perang dan pemberontak ditanah kelahiran dia
2025-07-19,@TheCurut007 Kalau Bahlil takut kampus jadi pabrik pembuat pengangguran Bahlil sbg mentri mundur saja bnyak anak bngsa yg lain lebih cerdas punya visi memberdayakan SDM dg cara memajukan pendidikan tinggi jgn ada lg . kampus abangan penjual ijazah terselubung agar keren klo jadi pejabat,in,kalau bahlil takut kampus jadi pabrik pembuat pengangguran bahlil sbg mentri mundur saja bnyak anak bngsa yg lain lebih cerdas punya visi memberdayakan sdm dg cara memajukan pendidikan tinggi jgn ada lg kampus abangan penjual ijazah terselubung agar keren klo jadi pejabat,kalau bahlil takut kampus jadi pabrik pembuat pengangguran bahlil sbg menteri mundur saja bnyak anak bngsa yang lain lebih cerdas punya visi memberdayakan sdm dg cara memajukan pendidikan tinggi jgn ada lg kampus abangan penjual ijazah terselubung agar keren kalau jadi pejabat
2025-07-15,Kata Mentri kita SDM rendah ini ,in,kata mentri kita sdm rendah ini,kata menteri kita sdm rendah ini
